;COR;NÍVEL DE CORRELAÇÃO
0;1;CORRELAÇÃO NEGATIVA MUITO FORTE (-1 a -0,9)
1;2;CORRELAÇÃO NEGATIVA FORTE (-0,8 a -0,7)
2;3;CORRELAÇÃO NEGATIVA MODERADA (-0,6 a -0,5)
3;4;CORRELAÇÃO NEGATIVA FRACA (-0,4 a -0,3)
4;5;NÃO POSSUI CORRELAÇÃO (-0,2 a 0,2)
5;6;CORRELAÇÃO POSITIVA FRACA (0,3 a 0,4)
6;7;CORRELAÇÃO POSITIVA MODERADA (0,5 a 0,6)
7;8;CORRELAÇÃO POSITIVA FORTE (0,7 a 0,8)
8;9;CORRELAÇÃO POSITIVA MUITO FORTE (0,9 a 1)
