;QUANTIDADE_KG;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);QTD. DE HORAS DE FRIO (< 7.2°C), DIARIA (MAIO - AGOSTO);QTD. DE HORAS TEMP. IDEAL (18°C - 23 C°), DIARIA (SETEMBRO - ABRIL);QTD. DE HORAS TEMP. PREJUDICIAL (> 27 C°), DIARIA (SETEMBRO - ABRIL);PRECIPITACAO TOTAL, DIARIO (AUT)(mm) (SETEMBRO - ABRIL);GRUPO_TAMANHO
0;1.0;0.1;-0.1;0.1;-0.2;-0.1;-0.1;0.5;0.3;0.1;-0.5;0.5;0.4;-0.5;0.1;G
1;1.0;0.2;0.1;0.6;0.6;0.7;0.7;0.3;0.4;0.0;-0.3;-0.9;0.1;-0.1;0.3;IND
2;1.0;0.0;0.4;0.6;0.7;0.6;0.6;0.3;0.1;-0.0;-0.8;-0.5;0.0;-0.2;-0.1;M
3;1.0;-0.2;-0.3;-0.5;-0.5;-0.5;-0.4;-0.3;-0.2;0.3;0.6;0.2;-0.3;-0.3;-0.3;OUTROS
4;1.0;-0.2;0.4;0.3;0.6;0.5;0.4;-0.2;-0.2;-0.1;-0.3;-0.8;-0.3;0.1;-0.1;P
