;TAMANHO;ÚLT. SAFRA FECHADA;SAFRA EM ANDAMENTO;QTD. REAL ÚLT. SAFRA FECHADA;QTD. PREV. ÚLT. SAFRA FECHADA;QTD. PREV. SAFRA EM ANDAMENTO
0;G;2021;2022;15137003.14;14439197.66;11362562.17
1;IND;2021;2022;6858814.0;6937790.74;5390547.01
2;M;2021;2022;25633907.28;23606493.89;28117609.26
3;OUTROS;2021;2022;483845.0;503210.59;429189.39
4;P;2021;2022;14108126.21;13636277.24;13239224.12
